policy_id,provider,insurance_type,job_role,annual_salary,coverage_amount,time_period,financial_goal,dependents,health_condition,existing_policy,coverage_level,premium_level,policy_name
H001,Star Health,Health,Software Engineer,300000,500000,Long,Health Security,2,Normal,No,Medium,Low,Star Basic Health
H002,Star Health,Health,School Teacher,400000,1000000,Long,Family Protection,3,Normal,Yes,High,Medium,Star Family Health Optima
H003,Niva Bupa,Health,Doctor,600000,2000000,Long,Medical Safety,4,Diabetes,Yes,High,High,Niva Senior Secure
H004,HDFC ERGO,Health,Business Owner,350000,700000,Medium,Health Coverage,2,Normal,No,Medium,Medium,HDFC Health Suraksha
H005,Care Health,Health,College Lecturer,250000,500000,Short,Health Backup,1,Normal,No,Low,Low,Care Youth Plan
H006,ICICI Lombard,Health,Police Officer,600000,2000000,Long,Medical Security,4,Hypertension,Yes,High,High,ICICI Complete Health
H007,Niva Bupa,Health,Startup Founder,320000,750000,Medium,Health Planning,2,Normal,No,Medium,Low,Bupa Young Care
H008,HDFC ERGO,Health,Retired Government Employee,400000,1500000,Long,Senior Protection,2,Diabetes,Yes,High,High,HDFC Senior Secure
H009,Care Health,Health,Chartered Accountant,500000,1200000,Long,Family Health,4,Normal,Yes,High,Medium,Care Advantage
H010,Star Health,Health,Bank Manager,450000,800000,Medium,Health Safety,3,Normal,No,Medium,Medium,Star Health Plus
H011,Star Health,Health,Professor,550000,1800000,Long,Medical Security,4,Normal,Yes,High,High,Star Comprehensive
H012,Niva Bupa,Health,Army Officer,650000,2500000,Long,Health Protection,4,Normal,Yes,High,High,Niva Health Secure
H013,HDFC ERGO,Health,Government Clerk,280000,500000,Short,Health Backup,1,Normal,No,Low,Low,HDFC Young Health
H014,Care Health,Health,HR Manager,480000,1000000,Long,Family Protection,3,Normal,Yes,High,Medium,Care Family Plus
H015,ICICI Lombard,Health,Senior Software Engineer,700000,3000000,Long,Premium Health,4,Normal,Yes,High,High,ICICI Health Boost
H016,Star Health,Health,Data Scientist,650000,2200000,Long,Medical Safety,3,Normal,Yes,High,High,Star Health Premium
H017,Niva Bupa,Health,Pharmacist,420000,900000,Medium,Health Coverage,2,Normal,No,Medium,Medium,Niva Health Lite
H018,HDFC ERGO,Health,Civil Engineer,500000,1500000,Long,Health Security,3,Normal,Yes,High,Medium,HDFC Optima Secure
H019,Care Health,Health,Nurse,300000,600000,Medium,Health Planning,2,Normal,No,Medium,Low,Care Secure Plus
